,id,owner,title,dateupload,datetaken,ownername,tags,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family
0,52745695389,74877815@N05,,1678735276,2023-03-11 12:44:18,matthew valencia,,34.076194,-118.305939,16,0,,7134201,1,0,0,0
1,52744869502,74877815@N05,,1678733877,2023-03-07 14:51:50,matthew valencia,,34.147777,-118.253914,16,0,,5352423,1,0,0,0
2,52744919621,197945878@N08,Calvin Harris & Ellie Goulding - Miracle (Extended Mix),1678720315,2023-03-13 15:53:50,soundrecording017,elliegoulding calvinharris miracle extended mix,34.045121,-118.254003,13,0,,8062678,1,0,0,0
3,52742978877,189056315@N04,Tuesday Morning Closing in Hawthorne CA,1678661891,2023-03-12 15:49:13,FFL_Retail-Posts,,33.807371,-118.351764,16,0,,5285212,1,0,0,0
4,52739580154,41737227@N03,"520 Mateo, Arts District",1678500955,2023-02-05 12:44:00,HunterKerhart.com,520mateost artsdistrict losangeles architecture california construction,34.042413,-118.231256,16,0,,5323164,1,0,0,0
5,52735929675,7980350@N08,Vulture,1678339734,2022-12-29 13:36:41,Justin Kane,labrea labreatarpits losangeles museum pagemuseum tarpits california unitedstates skeleton bones,34.063677,-118.355448,16,0,,5381273,1,0,0,0
6,52734928382,53365974@N00,"Lemons, oranges, tangerines",1678336123,2023-03-05 08:26:41,TomChatt,food,34.099619,-118.328339,16,0,,5357527,1,0,0,0
7,52735443546,53365974@N00,Margaritas,1678336010,2023-03-03 19:08:27,TomChatt,food lafoodie mexicanfood,34.097283,-118.275117,16,0,,10104153,1,0,0,0
8,52734335332,83584182@N00,Chicken Riggies,1678310944,2023-02-17 17:22:38,dewelch,food chicken recipe rigatoni peppers cook cooking,34.178066,-118.450706,16,0,,5405693,1,0,0,0
9,52729084256,58753801@N00,,1678083699,2023-03-05 22:20:00,clascaris,nicolastriboulotsigneddivaforbaccarat restingtulipsvase,34.091802,-118.336642,16,0,,5357527,1,0,0,0
10,52729496720,58753801@N00,,1678083699,2023-03-05 22:19:56,clascaris,,34.091802,-118.336642,16,0,,5357527,1,0,0,0
11,52728566138,58753801@N00,,1678048557,2023-03-05 12:35:44,clascaris,kodakstudiosbuildingstripped,34.089994,-118.336206,16,0,,5357527,1,0,0,0
12,52726753984,22038157@N05,"Exposition Park, Los Angeles - Saturday",1677987914,2023-03-04 15:25:51,James Fujita,,34.016695,-118.288283,16,0,,5360529,1,0,0,0
13,52726493786,22038157@N05,"Exposition Park, Los Angeles - Saturday",1677987929,2023-03-04 16:02:08,James Fujita,,34.017033,-118.288883,16,0,,5360529,1,0,0,0
14,52726473811,22038157@N05,"Butterfly pavilion, NHMLA, Exposition Park, Los Angeles - Saturday",1677987029,2023-03-04 15:05:20,James Fujita,,34.016570,-118.288261,16,0,,5360529,1,0,0,0
15,52726887435,22038157@N05,"Butterfly pavilion, NHMLA, Exposition Park, Los Angeles - Saturday",1677987036,2023-03-04 15:11:09,James Fujita,,34.016570,-118.288293,16,0,,5360529,1,0,0,0
16,52726394193,66855284@N03,Around Downtown LA 2016 02 05 03,1677963881,2016-02-05 14:24:38,davidseibold,america california losangeles plannedparenthood usa unitedstates architecture constructioncrane drivebyphotography jfflickr photosbydavid postedonflickr sign sky text transporation transportation vehicle,34.050447,-118.261931,16,0,,8062677,1,0,0,0
17,52726151423,140378231@N02,Los Angeles - 3 March 2023,1677955785,2023-03-03 11:41:46,Jan Veldhuis,,33.993757,-118.479759,15,0,,5378728,1,0,0,0
18,52723901271,86383385@N00,M318486A,1677874574,2023-03-03 12:08:56,RobHelfman,losangeles kennethhahnpark kennyhahnpark kennethhahnstaterecreationarea canadagoose,34.009433,-118.370583,15,0,,11257423,1,0,0,0
19,52723932593,9175704@N02,20230228_094746,1677859529,2023-02-28 09:47:46,shawn_broes,,34.186230,-118.177428,16,0,,5366547,1,0,0,0
20,52723932138,9175704@N02,20230226_135148,1677859531,2023-02-26 13:51:48,shawn_broes,,34.149513,-118.081303,16,0,,5335910,1,0,0,0
21,52723929873,140378231@N02,Los Angeles - 1 March 2023,1677859292,2023-03-01 14:41:01,Jan Veldhuis,,33.894357,-118.394851,10,0,,11788606,1,0,0,0
22,52721574252,33953751@N02,The Secret Garden at the Ahmanson Theatre,1677794522,2023-02-26 15:50:39,bluejacket01,,34.058175,-118.247537,16,0,,8062677,1,0,0,0
23,52722314669,74877815@N05,,1677792681,2023-02-12 16:39:25,matthew valencia,,34.088963,-118.376931,16,0,,5340620,1,0,0,0
24,52722038011,74877815@N05,,1677791934,2023-02-15 11:33:43,matthew valencia,,34.023783,-118.335014,16,0,,5337450,1,0,0,0
25,52722293339,74877815@N05,,1677791861,2023-02-15 11:34:41,matthew valencia,,34.024161,-118.335000,16,0,,5337450,1,0,0,0
26,52722430855,74877815@N05,,1677791420,2023-02-15 11:52:34,matthew valencia,,34.033852,-118.334275,16,0,,5365162,1,0,0,0
27,52722022221,74877815@N05,,1677791419,2023-02-15 11:52:44,matthew valencia,,34.034180,-118.334131,16,0,,5365162,1,0,0,0
28,52722426435,74877815@N05,,1677791290,2023-02-15 11:57:16,matthew valencia,,34.036850,-118.332656,16,0,,7134197,1,0,0,0
29,52722272809,74877815@N05,,1677791207,2023-02-15 12:02:11,matthew valencia,,34.040402,-118.330681,16,0,,7134197,1,0,0,0
30,52721942560,21086430@N00,"USA, Los Angeles, The Broad",1677774916,2022-06-15 12:24:05,balavenise,museum losangeles broad,34.054622,-118.250612,16,0,,8062677,1,0,0,0
31,52719177269,86383385@N00,R318245S,1677660813,2023-02-28 20:05:14,RobHelfman,crenshaw sports basketball highschool losangeles culvercity state regionalplayoff,34.005884,-118.402181,16,0,,11788653,1,0,0,0
32,52718071267,98147195@N00,Tristan Nelson,1677643169,2022-11-11 19:14:48,mark6mauno,tristannelson tristan nelson lasvegasthunderbirds lasvegastbirds lasvegas las vegas thunderbirds tbirds unitedstatespremierhockeyleague united states premier hockey league usphl premierdivision division 202223 therinkslakewoodice therinks lakewoodice the rinks lakewood ice nikkor 300mmf28gvrii nikond6 nikon d6 ar3x4,33.830150,-118.163559,16,0,,5332795,1,0,0,0
33,52718641645,62595633@N06,Warner Bros. Studio Tour Hollywood,1677625358,2022-06-19 12:12:04,Leticia F. Terra,california2022 losangeles usa travel,34.150638,-118.336931,16,0,,5550235,1,0,0,0
34,52717689972,62595633@N06,Chinese Theatre,1677625327,2022-06-19 16:41:28,Leticia F. Terra,california2022 losangeles usa travel,34.101769,-118.340906,16,0,,7134195,1,0,0,0
35,52718475414,62595633@N06,Santa Monica Pier,1677625322,2022-06-19 19:55:22,Leticia F. Terra,california2022 santamonica losangeles usa travel beaches,34.010227,-118.496467,16,0,,5393212,1,0,0,0
36,52718639190,62595633@N06,Santa Monica Beach,1677625321,2022-06-19 20:00:50,Leticia F. Terra,california2022 santamonica losangeles usa travel beaches,34.009166,-118.498764,16,0,,5393212,1,0,0,0
37,52717823531,74877815@N05,,1677612233,2023-02-15 12:32:36,matthew valencia,,34.045555,-118.331848,16,0,,7134197,1,0,0,0
38,52717304592,74877815@N05,,1677612191,2023-02-15 12:29:25,matthew valencia,,34.043491,-118.332948,16,0,,7134197,1,0,0,0
